title,author,journal,volume,number,pages,year,cite_id,cites
"Hábitos alimenticios del pez sable Trichiurus lepturus en el Golfo de Urabá, Caribe colombiano","S Arenas-Uribe, J Leal-Flórez, A Sandoval, AFP Villa, ...",Biota Colombiana,20,(2),59-75,2019,,
"Novo registro de Blepharicnema splendens (Diptera, Calliphoridae, Luciliini) e expansão de sua área de distribuição em Caquetá, Colômbia","Y RAMOS-PASTRANA, E CÓRDOBA-SUAREZ, M WOLFF",Acta Amazonica,49,(3),242-245,2019,,
FABACEAE FAMILY FROM DRY FOREST IN COLOMBIA: POTENTIAL BIOTECHNOLOGICAL USE AS A SOURCE OF BIOCIDES AND ANTIOXIDANT COMPOUNDS.,"JA Polo-Olivella, JF Betancur-Pérez, JW Arboleda-Valencia",,,,,2019,,
Effective quasiparticle approach for a Cavity-QDots System,"F Gómez, JP Cuartas, BA Rey, H Vinck-Posada",arXiv preprint arXiv:1908.03150,,,,2019,,
"Epidemiology of chronic venous disorders and associated factors in embera-chami native amerindians, Antioquia","AF García-Pineda, J Duque-Botero, JA Cardona-Arias, ...",Revista Facultad Nacional de Salud Pública,37,(2),75-88,2019,,
Chirping compact stars: gravitational radiation and detection degeneracy with binary systems A conceptual pathfinder for space-based gravitational-wave observatories,"JF Rodriguez, JA Rueda, R Ruffini, JI Zuluaga, JM Blanco-Iglesias, ...",arXiv preprint arXiv:1907.10532,,,,2019,,
Optimization of the light sword optical element (LSOE) for presbyopia correction,"W Torres, A Mira-Agudelo, JF Barrera, A Kolodziejczyk",Investigative Ophthalmology & Visual Science,60,(9),3724-3724,2019,,
"Acid dissociation in (HX) n (H2O) n clusters (X= F, Cl, Br, I; n= 2, 3)","A Vargas-Caamal, E Dzib, F Ortiz-Chi, A Restrepo, G Merino",ChemRxiv,,,,2019,,
VISCO-ACOUSTIC MODELING IN THE FREQUENCY DOMAIN USING A MIXED-GRID FINITE-DIFFERENCE METHOD AND ATTENUATION-DISPERSION MODEL,"SK Avendaño, JC Muñoz-Cuartas, MA Ospina, H Montegranario",Brazilian Journal of Geophysics,37,(2),131-144,2019,,
Los lantánidos: ni tierras ni raras,"F Echeverri, JJ Parra",Revista de la Academia Colombiana de Ciencias Exactas,,,Físicas y Naturales …,2019,,
Habitable Environments Surrounding Moderately Close Binaries,"PA Mason, JI Zuluaga, PA Cuartas-Restrepo",2019 Astrobiology Science Conference,,,,2019,,
The lanthanides: neither earths nor rare,"F Echeverri, JJ Parra",Revista de la Academia Colombiana de Ciencias Exactas,,,Físicas y Naturales …,2019,,
Implementation of a portable EDXRF measurement chain for characterization of metallic objects of cultural interest in Colombia,"SJ Fabián, LF Ramírez, H Pimienta, J Osorio, OO Arnache",Journal of Physics: Conference Series,1247,(1),012016,2019,,
Signal Evolution and Morphological Complexity in Hummingbirds (Aves: Trochilidae),"CM Eliason, R Maia, JL Parra, MD Shawkey",JOURNAL OF MORPHOLOGY,280,,S115-S115,2019,,
"Avifauna en dos complejos de páramo de Antioquia, Colombia","J Betancur, D Martínez Alvarado, HF Rivera Gutiérrez, J Parra",Biota colombiana,20,(1),91-105,2019,,
A brief discussion of the magnetocaloric effect in thin films of manganite doped with chromium,"G Campillo, AI Figueroa, O Arnache, J Osorio, JMM Ramírez, L Fallarino",Journal of Physics: Conference Series,1247,(1),012013,2019,,
Grain Size Reduction Effect on Structural and Magnetic Properties in La1-xSrxMnO3 (x= 0.3 y 0.4) by Mechanical Ball Milling,"G Campillo, J Osorio, O Arnache, A Gil, JJ Beltrán, L Dorkis",Journal of Physics: Conference Series,1247,(1),012015,2019,,
Parameters optimization in the casting processes of Fe32Cu64B4 magnetic alloys,"D Garzón, O Arnache, R Aristizabal, A Santacruz, C Ostos, A Echavarría",Journal of Physics: Conference Series,1247,(1),012012,2019,,
"Análisis de asociación genética en pacientes con insuficiencia venosa crónica y enfermedad arterial oclusiva crónica de una población de Antioquia, Colombia","CA Naranjo-Gonzalez, E Arrubla-Estrada, D Cardona-Arrubla, LJ Posada, ...",MEMORIAS FORENSES,,,71-82,2019,,
Assays and enhancers of the human delta enac sodium channel,"B Moyer, M Lu, F Echeverri, H Chang","US Patent App. 16/130,017",,,,2019,,
